epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7265,2.62488,1.99758,2.12977,0.32114,0.47354,0.34325,0.15523,2.46574,1.62023,2.10275,0.00329825,0.00329825,0.00329825
2,52.3342,2.05064,1.40186,1.62953,0.38449,0.47765,0.3926,0.19249,2.33055,1.62368,2.00267,0.00663157,0.00663157,0.00663157
3,77.9095,1.94918,1.39943,1.51823,0.35467,0.48575,0.35145,0.17843,2.23063,1.5336,1.89507,0.00996486,0.00996486,0.00996486
4,103.087,1.87817,1.36836,1.4729,0.39983,0.50535,0.42025,0.21246,2.20054,1.54961,1.87096,0.00999989,0.00999989,0.00999989
5,128.318,1.81829,1.30072,1.42022,0.42352,0.50778,0.4266,0.21953,2.13739,1.42518,1.81923,0.0099998,0.0099998,0.0099998
6,153.525,1.7729,1.28535,1.40646,0.40804,0.46555,0.42043,0.20111,2.15443,1.70104,1.85725,0.00999969,0.00999969,0.00999969
7,178.719,1.74484,1.26503,1.37313,0.44285,0.52276,0.47214,0.24787,2.10552,1.42326,1.78749,0.00999955,0.00999955,0.00999955
8,204.023,1.72933,1.25792,1.36306,0.42142,0.53323,0.46817,0.25444,2.07242,1.41247,1.7629,0.00999939,0.00999939,0.00999939
9,229.44,1.69845,1.24424,1.34334,0.44526,0.54655,0.48394,0.27227,1.98513,1.39917,1.7442,0.0099992,0.0099992,0.0099992
10,254.95,1.6819,1.23469,1.33772,0.47827,0.52845,0.52137,0.29327,2.00658,1.32467,1.70713,0.00999899,0.00999899,0.00999899
11,280.976,1.65817,1.21559,1.32644,0.4841,0.53446,0.51444,0.2974,1.9388,1.3396,1.71398,0.00999875,0.00999875,0.00999875
12,306.665,1.65371,1.20559,1.3085,0.46524,0.55605,0.50561,0.26416,1.96244,1.31164,1.68931,0.00999849,0.00999849,0.00999849
13,332.623,1.64006,1.20444,1.31278,0.43009,0.55756,0.46717,0.26454,1.9549,1.38487,1.76464,0.00999821,0.00999821,0.00999821
14,358.547,1.64028,1.2034,1.30379,0.44105,0.55896,0.48734,0.27727,1.91453,1.36198,1.70538,0.00999789,0.00999789,0.00999789
15,384.601,1.62809,1.19221,1.29523,0.47651,0.56914,0.52981,0.29239,1.93127,1.30581,1.7036,0.00999756,0.00999756,0.00999756
16,410.935,1.60635,1.18378,1.29374,0.45962,0.5645,0.51908,0.30099,1.9165,1.2966,1.71088,0.0099972,0.0099972,0.0099972
17,437.284,1.59491,1.18759,1.2924,0.47717,0.55425,0.52311,0.28192,1.88246,1.35373,1.68296,0.00999681,0.00999681,0.00999681
18,463.785,1.59524,1.18808,1.29326,0.46085,0.55552,0.51336,0.27084,1.92992,1.31312,1.74771,0.0099964,0.0099964,0.0099964
19,490.04,1.59327,1.18839,1.28711,0.46505,0.58237,0.51717,0.28173,1.90164,1.31869,1.70093,0.00999596,0.00999596,0.00999596
20,516.145,1.57282,1.18096,1.28475,0.49149,0.58634,0.54696,0.31568,1.83861,1.27767,1.61828,0.0099955,0.0099955,0.0099955
21,542.608,1.57287,1.17163,1.2743,0.49432,0.55376,0.52732,0.30324,1.90763,1.3108,1.70321,0.00999502,0.00999502,0.00999502
